Bid Price,Bid Size,Bid Amount,Ask Price,Ask Size,Ask Amount,Spread,Diff Size
1281.49,1.62457639,2,1291.7,0.00154835,1,-10.210000000000036,1.6230280400000001
1281.45,1.22111343,1,1291.78,1.4742811,1,-10.329999999999927,-0.25316767000000007
1281.43,0.02762404,1,1292.49,0.02004619,1,-11.059999999999945,0.0075778500000000006
1281.4,0.03,1,1293.18,0.08,1,-11.779999999999973,-0.05
1281.36,0.02,1,1293.58,404.21,1,-12.220000000000027,-404.19
1281.25,0.11551609,2,1293.6,1.02,1,-12.349999999999909,-0.9044839100000001
1281.23,11.06785038,1,1293.83,0.04,1,-12.599999999999909,11.02785038
1281.22,8.08619294,3,1294.01,311.84,1,-12.789999999999964,-303.75380706
1281.21,0.00582016,1,1294.2,3.81752837,3,-12.990000000000009,-3.81170821
1281.16,1.09576001,1,1294.47,0.08,1,-13.309999999999945,1.01576001
1281.15,116.93127944,3,1294.72,1327.63,1,-13.569999999999936,-1210.69872056
1281.13,0.05256858,2,1295.0,18.90781661,3,-13.86999999999989,-18.855248030000002
1281.11,3.90513483,1,1295.11,0.04,1,-14.0,3.86513483
1281.09,1303.83,1,1296.85,0.1,1,-15.759999999999991,1303.73
1281.0,4.13526556,3,1296.99,1529.97,1,-15.990000000000009,-1525.83473444
1280.95,0.09048885,1,1297.04,0.12,1,-16.089999999999918,-0.02951115
1280.92,0.07760047,1,1297.23,0.01353469,1,-16.309999999999945,0.06406578
1280.84,0.0232816,1,1297.42,130.85148851,1,-16.580000000000155,-130.82820691
1280.8,0.014,1,1297.88,0.01353469,1,-17.080000000000155,0.00046531000000000003
1280.78,0.02575312,1,1298.44,0.12,1,-17.660000000000082,-0.09424687999999999
1280.76,1.80275354,1,1298.53,0.01353469,1,-17.769999999999982,1.7892188500000001
1280.68,0.00209858,1,1299.02,0.04,1,-18.339999999999918,-0.03790142
1280.61,1.07935529,2,1299.18,0.01353469,1,-18.570000000000164,1.0658206000000001
1280.53,0.07319087,1,1299.22,0.22512614,1,-18.690000000000055,-0.15193527
1280.43,2.28790093,2,1299.56,0.37188828,1,-19.12999999999988,1.91601265
1280.4,404.15,1,1299.61,0.12,1,-19.20999999999981,404.03
1280.31,0.03,1,1299.65,0.005,1,-19.340000000000146,0.024999999999999998
1280.3,0.03069376,1,1299.83,0.01353469,1,-19.529999999999973,0.01715907
1280.29,510.9184,1,1299.95,1.74953008,1,-19.660000000000082,509.16886992
1280.25,0.01611736,1,1299.98,1.41758992,1,-19.730000000000018,-1.40147256
1280.07,0.02,1,1300.0,67.04805169,13,-19.930000000000064,-67.02805169
1280.02,6.42700248,1,1300.26,0.08,1,-20.24000000000001,6.34700248
1280.0,59.9134519,31,1300.32,0.04,1,-20.319999999999936,59.8734519
1279.93,0.03905697,1,1301.0,1.5,2,-21.069999999999936,-1.46094303
1279.92,0.06491279,1,1301.61,0.04,1,-21.689999999999827,0.024912789999999997
1279.91,1.11330585,1,1301.72,0.0059998,1,-21.809999999999945,1.10730605
1279.89,4.04012043,1,1302.0,11.50627651,3,-22.1099999999999,-7.466156079999999
1279.77,2.00949884,1,1302.11,0.04009238,1,-22.339999999999918,1.96940646
1279.68,1.1667613,1,1302.19,0.12,1,-22.50999999999999,1.0467613
1279.63,0.02,1,1302.52,0.006,1,-22.889999999999873,0.014
1279.6,1.00239667,2,1302.83,0.08,1,-23.230000000000018,0.92239667
1279.58,1.00243067,1,1302.87,0.45070194,1,-23.289999999999964,0.55172873
1279.48,0.00699967,1,1302.89,0.017,1,-23.410000000000082,-0.010000330000000002
1279.45,0.00781558,1,1302.9,0.04,1,-23.450000000000045,-0.03218442
1279.32,0.40436124,1,1302.93,0.06448655,1,-23.610000000000127,0.33987469000000003
1279.26,13.28142046,1,1303.0,10.73540438,1,-23.74000000000001,2.5460160799999993
1279.21,0.13,1,1303.24,0.017,1,-24.029999999999973,0.113
1279.13,0.01609982,1,1303.39,0.017,1,-24.25999999999999,-0.0009001800000000004
1279.03,0.03,1,1303.46,0.006,1,-24.430000000000064,0.024
1279.0,0.25194292,2,1303.55,0.01601145,1,-24.549999999999955,0.23593147
1278.94,0.04891781,2,1303.87,0.005,1,-24.929999999999836,0.04391781
1278.86,0.19431369,1,1303.91,0.02562508,1,-25.050000000000182,0.16868861000000002
1278.67,0.4776809,1,1304.0,0.5,1,-25.329999999999927,-0.02231909999999998
1278.6,0.03900037,2,1304.17,0.01611736,1,-25.570000000000164,0.02288301
1278.47,189.7536,1,1304.22,0.017,1,-25.75,189.7366
1278.46,0.003,1,1304.28,0.1,1,-25.819999999999936,-0.097
1278.4,0.01,1,1304.39,0.019,1,-25.99000000000001,-0.009
1278.39,0.00500209,1,1304.44,0.008,1,-26.049999999999955,-0.0029979100000000003
1278.37,0.00894524,1,1304.52,0.02748719,1,-26.15000000000009,-0.01854195
1278.27,0.45406562,1,1304.53,0.61762338,1,-26.25999999999999,-0.16355776000000005
1278.23,1.8050346,1,1304.74,0.56,1,-26.50999999999999,1.2450345999999999
1278.14,312.8064,1,1304.76,0.006,1,-26.61999999999989,312.8004
1278.12,4.0,1,1304.85,0.03052425,1,-26.730000000000018,3.96947575
1278.09,1505.41,1,1305.0,28.62206939,8,-26.910000000000082,1476.78793061
1278.02,0.003,1,1305.02,0.06237611,1,-27.0,-0.059376109999999996
1278.0,11.86722928,6,1305.22,0.31321054,1,-27.220000000000027,11.55401874
1277.99,1.0,1,1305.47,0.23275018,1,-27.480000000000018,0.76724982
1277.97,0.5,1,1305.49,0.08,1,-27.519999999999982,0.42
1277.89,23.4,1,1305.5,0.00915712,1,-27.6099999999999,23.390842879999997
1277.8,3.29397454,2,1305.56,0.36426387,1,-27.75999999999999,2.92971067
1277.78,0.00891397,1,1305.6,0.88816444,1,-27.819999999999936,-0.87925047
1277.74,0.03,1,1305.68,0.019,1,-27.940000000000055,0.011
1277.58,0.0059998,1,1305.75,0.02326877,1,-28.170000000000073,-0.01726897
1277.5,0.1,1,1305.77,0.0494454,1,-28.269999999999982,0.050554600000000005
1277.49,0.03,1,1305.84,0.01551494,1,-28.34999999999991,0.01448506
1277.36,0.03903859,2,1305.96,0.02725247,1,-28.600000000000136,0.011786119999999997
1277.34,0.00191498,1,1305.99,0.01428487,1,-28.65000000000009,-0.01236989
1277.3,0.02085461,1,1306.03,1416.3,1,-28.730000000000018,-1416.27914539
1277.26,3.64210607,2,1306.06,0.006,1,-28.799999999999955,3.6361060700000003
1277.2,0.26843137,1,1306.12,0.00508093,2,-28.919999999999845,0.26335044
1277.14,0.00587066,1,1306.21,0.006,1,-29.069999999999936,-0.00012934000000000036
1277.11,0.01,1,1306.34,0.00190111,1,-29.230000000000018,0.008098890000000001
1277.1,0.32062373,2,1306.5,0.12604741,1,-29.40000000000009,0.19457632
1277.07,3.27878,1,1306.72,0.00581236,1,-29.65000000000009,3.2729676399999996
1277.05,0.02,1,1306.91,0.78625971,1,-29.860000000000127,-0.7662597099999999
1277.0,5.00600845,5,1306.94,0.006,1,-29.940000000000055,5.00000845
1276.82,0.01949115,1,1306.98,0.03789629,2,-30.160000000000082,-0.01840514
1276.76,0.02177354,1,1307.0,1.0,1,-30.24000000000001,-0.97822646
1276.6,0.0193098,1,1307.12,0.00384815,1,-30.519999999999982,0.015461649999999999
1276.54,0.00843622,1,1307.24,0.06427403,1,-30.700000000000045,-0.055837809999999995
1276.5,1.63691149,1,1307.34,0.01240983,1,-30.839999999999918,1.62450166
1276.45,0.05,1,1307.61,0.10948135,1,-31.159999999999854,-0.05948135
1276.4,0.02752598,1,1307.65,0.5,1,-31.25,-0.47247402
1276.3,0.3,1,1307.67,0.02200129,1,-31.37000000000012,0.27799871
1276.28,0.01567054,1,1307.72,0.44903177,1,-31.440000000000055,-0.43336123
1276.25,0.04994015,1,1307.74,0.023,1,-31.49000000000001,0.026940150000000003
1276.23,0.0235016,1,1307.94,0.03822806,1,-31.710000000000036,-0.01472646
1276.04,0.02459206,2,1308.0,0.51,2,-31.960000000000036,-0.48540794
1276.0,4.70217869,5,1308.07,0.08,1,-32.069999999999936,4.62217869
1275.99,0.2,1,1308.08,0.00455126,1,-32.08999999999992,0.19544874
1275.82,0.01,1,1308.2,1.02231594,2,-32.38000000000011,-1.01231594
1275.76,0.01561422,1,1308.23,0.01519611,1,-32.47000000000003,0.0004181099999999993
1275.72,0.01611736,1,1308.27,0.019,1,-32.549999999999955,-0.002882639999999999
1275.71,0.06512701,1,1308.33,0.14,1,-32.61999999999989,-0.07487299000000001
1275.58,0.11041087,1,1308.37,0.0128276,1,-32.789999999999964,0.09758327
1275.51,0.0630006,1,1308.5,3.0,1,-32.99000000000001,-2.9369994
1275.35,0.05430528,1,1308.53,0.02089243,1,-33.180000000000064,0.033412849999999994
1275.34,0.04301186,1,1308.72,0.1655,1,-33.38000000000011,-0.12248814000000001
1275.3,0.05494078,2,1308.74,0.29201819,1,-33.440000000000055,-0.23707741000000002
1275.29,0.0029377,1,1308.81,0.01611736,1,-33.51999999999998,-0.013179660000000001
1275.25,0.03498637,1,1309.0,19.92442169,3,-33.75,-19.88943532
1275.08,0.02776161,1,1309.03,0.023,1,-33.950000000000045,0.0047616099999999995
1275.0,23.37425885,38,1309.06,0.00387726,1,-34.059999999999945,23.37038159
1274.98,0.02460576,1,1309.31,0.018,1,-34.32999999999993,0.006605760000000002
1274.97,0.07892155,1,1309.35,0.03200483,1,-34.37999999999988,0.046916719999999995
1274.94,0.02,1,1309.37,0.10654618,1,-34.429999999999836,-0.08654618
1274.91,0.03,1,1309.51,0.03867085,1,-34.59999999999991,-0.00867085
1274.77,10.0,1,1309.9,0.10280902,2,-35.13000000000011,9.89719098
1274.63,0.14,1,1309.98,0.0049474,1,-35.34999999999991,0.13505260000000002
1274.61,0.01656975,1,1309.99,0.019,1,-35.38000000000011,-0.0024302499999999984
1274.54,0.01,1,1310.0,22.46058349,15,-35.460000000000036,-22.45058349
1274.46,0.02,1,1310.05,0.04271452,1,-35.58999999999992,-0.02271452
1274.44,0.01915473,1,1310.12,0.00694463,1,-35.679999999999836,0.012210099999999998
1274.41,0.02588185,1,1310.22,0.10369202,2,-35.809999999999945,-0.07781017
1274.15,0.10441273,1,1310.25,1.1542697,1,-36.09999999999991,-1.04985697
1274.14,0.07355794,1,1310.3,0.01216,1,-36.159999999999854,0.06139794
1274.05,0.01486483,1,1310.39,0.07814463,1,-36.340000000000146,-0.06327980000000001
1274.03,126.9632,1,1310.4,0.08018163,1,-36.37000000000012,126.88301837
1274.02,0.07999189,1,1310.42,0.0254977,1,-36.40000000000009,0.05449419
1274.0,4.50148106,4,1310.44,0.01238148,1,-36.440000000000055,4.4890995799999995
1273.97,0.01255916,1,1310.46,0.00221449,1,-36.49000000000001,0.01034467
1273.92,0.01668431,2,1310.66,0.08,1,-36.74000000000001,-0.06331569000000001
1273.9,0.031,1,1310.7,0.23562706,1,-36.799999999999955,-0.20462706
1273.88,0.05,1,1310.74,0.01592354,1,-36.8599999999999,0.03407646
1273.85,0.0049,1,1310.79,0.07723201,1,-36.940000000000055,-0.07233201
1273.7,0.00781974,1,1310.8,0.03861571,1,-37.09999999999991,-0.03079597
1273.68,0.16297204,1,1310.82,0.09289006,1,-37.13999999999987,0.07008198000000002
1273.58,0.0392517,1,1310.85,0.17507501,1,-37.26999999999998,-0.13582331
1273.53,0.45575562,1,1310.98,0.01919003,1,-37.450000000000045,0.43656558999999995
1273.39,0.00234649,1,1311.0,3.30000001,3,-37.6099999999999,-3.2976535200000003
1273.38,0.06256088,1,1311.02,0.02735084,1,-37.63999999999987,0.03521004
1273.24,0.04086396,2,1311.29,0.019,1,-38.049999999999955,0.021863959999999998
1273.23,0.03694443,1,1311.45,0.01486483,1,-38.22000000000003,0.022079599999999998
1273.2,0.1,1,1311.54,0.06206633,1,-38.33999999999992,0.03793367
1273.17,0.5,1,1311.56,0.06406241,1,-38.38999999999987,0.43593759
1273.03,0.0728998,1,1311.6,0.18,1,-38.569999999999936,-0.10710019999999999
1273.0,2.0,2,1311.66,0.3147,1,-38.66000000000008,1.6853
1272.89,0.25,1,1311.73,0.08018475,1,-38.83999999999992,0.16981525
1272.82,0.04479932,1,1311.85,0.01475531,1,-39.02999999999997,0.030044009999999996
1272.78,0.01956348,1,1311.9,0.14603531,1,-39.12000000000012,-0.12647183
1272.63,0.01238626,1,1311.97,0.001,1,-39.33999999999992,0.011386259999999999
1272.5,0.00915712,1,1312.0,3.5,3,-39.5,-3.49084288
1272.42,0.0207587,1,1312.08,0.03043488,1,-39.659999999999854,-0.00967618
1272.33,0.03,1,1312.11,0.023,1,-39.77999999999997,0.006999999999999999
1272.24,0.02423381,1,1312.15,0.18029502,1,-39.91000000000008,-0.15606121
1272.21,0.24351855,2,1312.16,8.63241762,1,-39.950000000000045,-8.38889907
1272.2,1.2,1,1312.2,0.01982076,1,-40.0,1.18017924
1272.17,0.0285748,1,1312.21,0.01639509,1,-40.039999999999964,0.01217971
1272.15,0.03707683,1,1312.23,0.03484637,1,-40.07999999999993,0.0022304599999999966
1272.12,0.01827238,1,1312.27,0.02315328,1,-40.15000000000009,-0.004880899999999997
