time,average price,sum of size,volume
2023-08-26 18:20:00+00:00,26011.353965183753,7.10936784,517
2023-08-26 18:25:00+00:00,26008.559417989418,8.38177853,567
2023-08-26 18:30:00+00:00,26006.55506769826,14.49067432,517
2023-08-26 18:35:00+00:00,26006.948175519632,3.43386248,433
2023-08-26 18:40:00+00:00,26002.235397849465,7.27315259,465
2023-08-26 18:45:00+00:00,26005.57600831601,4.96854149,481
2023-08-26 18:50:00+00:00,26013.02522666667,3.61856153,375
2023-08-26 18:55:00+00:00,26013.365537383175,3.64196838,428
2023-08-26 19:00:00+00:00,26010.31154661017,2.97733181,472
2023-08-26 19:05:00+00:00,26012.74888607595,3.59040224,395
2023-08-26 19:10:00+00:00,26017.34877598152,5.52415281,433
2023-08-26 19:15:00+00:00,26017.745257270697,4.36400846,447
2023-08-26 19:20:00+00:00,26013.27408163265,3.6870227399999997,392
2023-08-26 19:25:00+00:00,26011.73764444444,3.33016481,450
2023-08-26 19:30:00+00:00,26013.52784679089,7.86135555,483
2023-08-26 19:35:00+00:00,26029.718329896907,5.64991765,485
2023-08-26 19:40:00+00:00,26032.636534653462,5.97622079,505
2023-08-26 19:45:00+00:00,26025.482942430703,7.60337467,469
2023-08-26 19:50:00+00:00,26026.99498866213,2.8134564,441
2023-08-26 19:55:00+00:00,26029.390755102042,12.122001150000001,490
2023-08-26 20:00:00+00:00,26023.375634615386,4.9046977300000005,520
2023-08-26 20:05:00+00:00,26020.169426229506,2.66760288,488
2023-08-26 20:10:00+00:00,26019.494252873563,2.83236632,435
2023-08-26 20:15:00+00:00,26027.307339622643,4.45186177,530
2023-08-26 20:20:00+00:00,26031.954595185995,5.2266771,457
2023-08-26 20:25:00+00:00,26029.989474789916,5.81564044,476
2023-08-26 20:30:00+00:00,26021.50210900474,2.96320719,422
2023-08-26 20:35:00+00:00,26014.753568281936,3.01936531,454
2023-08-26 20:40:00+00:00,26014.30153846154,6.41173463,507
2023-08-26 20:45:00+00:00,26022.037149321266,6.40024796,442
2023-08-26 20:50:00+00:00,26025.885609195404,4.20206951,435
2023-08-26 20:55:00+00:00,26025.355553145335,5.27796893,461
2023-08-26 21:00:00+00:00,26017.65298245614,5.13808018,456
2023-08-26 21:05:00+00:00,26013.399981617647,7.7604312,544
2023-08-26 21:10:00+00:00,26019.841436363633,14.21682502,550
2023-08-26 21:15:00+00:00,26030.036512820512,2.55075473,390
2023-08-26 21:20:00+00:00,26029.68839050132,2.2274145,379
2023-08-26 21:25:00+00:00,26033.14917624521,9.61318332,522
2023-08-26 21:30:00+00:00,26037.099871520342,2.96224909,467
2023-08-26 21:35:00+00:00,26031.586857142855,6.749615520000001,455
2023-08-26 21:40:00+00:00,26030.22335154827,11.11815641,549
2023-08-26 21:45:00+00:00,26031.652309711284,3.03221357,381
2023-08-26 21:50:00+00:00,26033.136766467065,2.81500276,334
2023-08-26 21:55:00+00:00,26032.803113207545,5.590331,318
2023-08-26 22:00:00+00:00,26031.659130434782,3.38432666,437
2023-08-26 22:05:00+00:00,26031.628753315646,3.39982188,377
2023-08-26 22:10:00+00:00,26035.395381263617,31.23654198,459
2023-08-26 22:15:00+00:00,26036.974273972603,2.34082295,365
2023-08-26 22:20:00+00:00,26030.611021611003,5.65070955,509
2023-08-26 22:25:00+00:00,26025.552149532712,2.42399959,428
2023-08-26 22:30:00+00:00,26028.82481751825,3.18882045,411
2023-08-26 22:35:00+00:00,26031.59618811881,2.80213175,404
2023-08-26 22:40:00+00:00,26029.732074074076,3.40858294,405
2023-08-26 22:45:00+00:00,26026.807442827445,3.57821068,481
2023-08-26 22:50:00+00:00,26022.264622030238,4.07414658,463
2023-08-26 22:55:00+00:00,26023.554870129872,2.04409202,308
